DDS Data [I]_x,DDS Data [I]_y,DDS Data [Q]_x,DDS Data [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
43.1876690388,0.0021742482,43.1876690388,0.0239310474,43.1876690388,0.0240296147,43.1876690388,84.8086616993,43.1876690388,-995.1913383007,43.1876690388,-1348.8353750493,43.1876690388,-2.0474590167
43.1876690388,0.0009607131,43.1876690388,0.0274167360,43.1876690388,0.0274335631,43.1876690388,87.9931129008,43.1876690388,-992.0068870992,43.1876690388,-1343.5670697351,43.1876690388,-5.2057681709
43.2488667965,0.0025809164,43.2488667965,0.0334993831,43.2488667965,0.0335986577,43.2488667965,85.5944242478,43.2488667965,-994.4055757522,43.2488667965,-1338.0868312576,43.2488667965,-7.5031628096
43.2488667965,0.0020386812,43.2488667965,0.0340292851,43.2488667965,0.0340902987,43.2488667965,86.5715301210,43.2488667965,-993.428469879,43.2488667965,-1332.3591418292,43.2488667965,-8.5325742916
43.2488667965,0.0031793300,43.2488667965,0.0235301464,43.2488667965,0.0237439661,43.2488667965,82.304951382,43.2488667965,-997.6950486180,43.2488667965,-1326.3623680442,43.2488667965,-7.8994359697
43.3083014488,0.0000280176,43.3083014488,0.0158037963,43.3083014488,0.0158038211,43.3083014488,89.8984237428,43.3083014488,-990.1015762572,43.3083014488,-1320.0592213295,43.3083014488,-5.6066353205
43.3083014488,-0.0029811605,43.3083014488,0.0132313316,43.3083014488,0.0135630179,43.3083014488,102.6973261325,43.3083014488,-977.3026738675,43.3083014488,-1313.4251561898,43.3083014488,-2.2512063048
43.3083014488,-0.006354794,43.3083014488,0.0146658675,43.3083014488,0.0159834626,43.3083014488,113.4273270006,43.3083014488,-966.5726729994,43.3083014488,-1306.4508583389,43.3083014488,1.5624750380
43.3654327393,-0.0076172420,43.3654327393,0.0148276477,43.3654327393,0.0166697785,43.3654327393,117.1904199173,43.3654327393,-962.8095800827,43.3654327393,-1299.1374332893,43.3654327393,5.1161134572
43.3654327393,-0.0121166638,43.3654327393,0.0183359689,43.3654327393,0.0219777455,43.3654327393,123.4572838573,43.3654327393,-956.5427161427,43.3654327393,-1291.4826721146,43.3654327393,7.5821895444
43.3654327393,-0.0199320262,43.3654327393,0.0320106043,43.3654327393,0.037708944,43.3654327393,121.9092616079,43.3654327393,-958.0907383921,43.3654327393,-1283.5053281473,43.3654327393,8.5477273818
43.4248552322,-0.0229305966,43.4248552322,0.0477780193,43.4248552322,0.0529957676,43.4248552322,115.6382254367,43.4248552322,-964.3617745633,43.4248552322,-1275.2202893045,43.4248552322,8.009982968
43.4248552322,-0.0182260776,43.4248552322,0.0645298354,43.4248552322,0.0670543776,43.4248552322,105.7720249935,43.4248552322,-974.2279750065,43.4248552322,-1266.7223165191,43.4248552322,5.7951167414
43.4248552322,-0.0047077774,43.4248552322,0.0756157168,43.4248552322,0.0757621264,43.4248552322,93.5625935564,43.4248552322,-986.4374064436,43.4248552322,-1257.8767568988,43.4248552322,2.5037635459
43.4881906509,0.0090972022,43.4881906509,0.0808513103,43.4881906509,0.0813614987,43.4881906509,83.5802126812,43.4881906509,-996.4197873188,43.4881906509,-1248.8178642743,43.4881906509,-1.0563813997
43.4881906509,0.0206738352,43.4881906509,0.0859332273,43.4881906509,0.0883851063,43.4881906509,76.4728369783,43.4881906509,-1003.5271630217,43.4881906509,-1239.5681489727,43.4881906509,-4.5536916914
43.4881906509,0.0370523258,43.4881906509,0.0887018051,43.4881906509,0.0961295224,43.4881906509,67.3288362161,43.4881906509,-1012.6711637839,43.4881906509,-1230.1751184856,43.4881906509,-7.2470504202
43.5482442379,0.0572799823,43.5482442379,0.0842505336,43.5482442379,0.1018781075,43.5482442379,55.7891254090,43.5482442379,-1024.210874591,43.5482442379,-1220.7047448020,43.5482442379,-8.649699403
43.5482442379,0.0732823754,43.5482442379,0.0725962904,43.5482442379,0.1031529346,43.5482442379,44.7305330089,43.5482442379,-1035.2694669911,43.5482442379,-1211.2199230257,43.5482442379,-8.8436317033
43.5482442379,0.0827278977,43.5482442379,0.0577749253,43.5482442379,0.1009051388,43.5482442379,34.9294062218,43.5482442379,-1045.0705937782,43.5482442379,-1201.7844084265,43.5482442379,-7.8387229585
43.6012368202,0.0866870605,43.6012368202,0.043598461,43.6012368202,0.0970333564,43.6012368202,26.6996896532,43.6012368202,-1053.3003103468,43.6012368202,-1192.4713343452,43.6012368202,-5.9283883116
43.6012368202,0.0878085800,43.6012368202,0.0299989359,43.6012368202,0.09279161,43.6012368202,18.8622267516,43.6012368202,-1061.1377732484,43.6012368202,-1183.3563863921,43.6012368202,-3.6061610412
