Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
182.5178520679,-0.0043413072,182.5178520679,0.0015550069,182.5178520679,0.0046113984,182.5178520679,160.293052591,182.5178520679,-7039.7069474090,182.5178520679,-1.2854328101,182.5178520679,-1.4631717793
182.5228517056,-0.0047085581,182.5228517056,0.0001612594,182.5228517056,0.0047113187,182.5228517056,178.0384921968,182.5228517056,-7021.9615078032,182.5228517056,-1.3446760612,182.5228517056,-1.2271732952
182.562473774,-0.0045052417,182.562473774,-0.0014315457,182.562473774,0.0047272112,182.562473774,-162.3722861943,182.562473774,-7002.3722861943,182.562473774,-1.3996397535,182.562473774,-0.9272003685
182.5744829178,-0.0035875191,182.5744829178,-0.0035337093,182.5744829178,0.0050356127,182.5744829178,-135.4329331056,182.5744829178,-6975.4329331056,182.5744829178,-1.4503897004,182.5744829178,-0.6048106486
182.5909404755,-0.0016959505,182.5909404755,-0.0050925453,182.5909404755,0.0053675195,182.5909404755,-108.4191050841,182.5909404755,-6948.4191050841,182.5909404755,-1.4968375778,182.5909404755,-0.2626201102
182.6082611084,0.0005292495,182.6082611084,-0.0056443409,182.6082611084,0.0056690996,182.6082611084,-84.6432434033,182.6082611084,-6924.6432434033,182.6082611084,-1.5386677083,182.6082611084,0.1058388259
182.6364665031,0.0025414173,182.6364665031,-0.0052462759,182.6364665031,0.0058294264,182.6364665031,-64.1533797628,182.6364665031,-6904.1533797628,182.6364665031,-1.5752913667,182.6364665031,0.5030421967
182.6414437294,0.0036343337,182.6414437294,-0.0042381932,182.6414437294,0.0055830693,182.6414437294,-49.3862643007,182.6414437294,-6889.3862643007,182.6414437294,-1.6069639735,182.6414437294,0.9259439701
182.6818058491,0.0042106599,182.6818058491,-0.0034068267,182.6818058491,0.0054162833,182.6818058491,-38.9761718393,182.6818058491,-6878.9761718393,182.6818058491,-1.6326638476,182.6818058491,1.3509559991
182.6932561398,0.0043557795,182.6932561398,-0.0026592302,182.6932561398,0.0051033637,182.6932561398,-31.4043225304,182.6932561398,-6871.4043225304,182.6932561398,-1.6523422575,182.6932561398,1.6527735362
182.7118310928,0.0043882630,182.7118310928,-0.0021403099,182.7118310928,0.0048823948,182.7118310928,-26.0001161623,182.7118310928,-6866.0001161623,182.7118310928,-1.6647997912,182.7118310928,1.8403918438
182.7249119282,0.0042764929,182.7249119282,-0.0017505388,182.7249119282,0.0046209066,182.7249119282,-22.2612396075,182.7249119282,-6862.2612396075,182.7249119282,-1.6688276221,182.7249119282,1.8528765961
182.7576882839,0.0043304943,182.7576882839,-0.0012658380,182.7576882839,0.00451171,182.7576882839,-16.2940622382,182.7576882839,-6856.2940622382,182.7576882839,-1.6632628619,182.7576882839,1.6273903197
182.7626881599,0.0043367472,182.7626881599,-0.0006104196,182.7626881599,0.0043794964,182.7626881599,-8.0120417360,182.7626881599,-6848.0120417360,182.7626881599,-1.6470019657,182.7626881599,1.1283523801
182.8031735420,0.0043437563,182.8031735420,0.0001585144,182.8031735420,0.0043466476,182.8031735420,2.0899374890,182.8031735420,-6837.910062511,182.8031735420,-1.6191206898,182.8031735420,0.3514816447
182.8154828548,0.0042545633,182.8154828548,0.0008083738,182.8154828548,0.0043306786,182.8154828548,10.7580552726,182.8154828548,-6829.2419447274,182.8154828548,-1.5788411972,182.8154828548,-0.6610515826
182.8335015774,0.0036424763,182.8335015774,0.0018423080,182.8335015774,0.0040818785,182.8335015774,26.8295793717,182.8335015774,-6813.1704206283,182.8335015774,-1.5256326231,182.8335015774,-1.8573797738
182.8484051228,0.0029187876,182.8484051228,0.0021836115,182.8484051228,0.0036451996,182.8484051228,36.8009994783,182.8484051228,-6803.1990005217,182.8484051228,-1.4590617608,182.8484051228,-3.1090606837
182.8779397011,0.0030537891,182.8779397011,0.0028982268,182.8779397011,0.0042101480,182.8779397011,43.5028536147,182.8779397011,-6796.4971463853,182.8779397011,-1.3790484480,182.8779397011,-4.2876152706
182.8829395771,0.0026812881,182.8829395771,0.0032200181,182.8829395771,0.0041902055,182.8829395771,50.2160707634,182.8829395771,-6789.7839292366,182.8829395771,-1.2857047879,182.8829395771,-5.2706474492
182.9232470989,0.0020698358,182.9232470989,0.0036223202,182.9232470989,0.0041719808,182.9232470989,60.2558521425,182.9232470989,-6779.7441478575,182.9232470989,-1.1795671448,182.9232470989,-5.9481311091
182.9282472134,-0.0034393287,182.9282472134,0.0028633402,182.9282472134,0.0044752317,182.9282472134,140.2216437073,182.9282472134,-6699.7783562927,182.9282472134,-1.0627671715,182.9282472134,-6.3668756215
182.9513614178,-0.0037861716,182.9513614178,0.0028937715,182.9513614178,0.0047653970,182.9513614178,142.6093148388,182.9513614178,-6697.3906851612,182.9513614178,-0.9366416544,182.9513614178,-6.12616089
182.9573612213,-0.0041522566,182.9573612213,0.0024359939,182.9573612213,0.0048140732,182.9573612213,149.6012376800,182.9573612213,-6690.39876232,182.9573612213,-0.8041670481,182.9573612213,-5.2448079093
182.9989485741,-0.0041885759,182.9989485741,0.0016152702,182.9989485741,0.0044892389,182.9989485741,158.9115105286,182.9989485741,-6681.0884894714,182.9989485741,-0.6674585677,182.9989485741,-3.7820363125
183.0119247437,-0.0041870743,183.0119247437,0.0008351082,183.0119247437,0.004269543,183.0119247437,168.7204206863,183.0119247437,-6671.2795793137,183.0119247437,-0.5289519139,183.0119247437,-1.8483021053
183.0448842049,-0.0041068721,183.0448842049,0.0000829114,183.0448842049,0.0041077089,183.0448842049,178.8434439961,183.0448842049,-6661.1565560039,183.0448842049,-0.3912826964,183.0448842049,0.3931218573
183.0498831272,-0.0039446374,183.0498831272,-0.0006514450,183.0498831272,0.0039980676,183.0498831272,-170.6224161227,183.0498831272,-6650.6224161227,183.0498831272,-0.2571703870,183.0498831272,2.7372774268
183.0739800930,-0.003600994,183.0739800930,-0.0013474877,183.0739800930,0.0038448512,183.0739800930,-159.4842102785,183.0739800930,-6639.4842102785,183.0739800930,-0.1293409894,183.0739800930,4.9581915264
183.0821163654,-0.0032713412,183.0821163654,-0.0017402515,183.0821163654,0.0037054216,183.0821163654,-151.9884151685,183.0821163654,-6631.9884151685,183.0821163654,-0.0104105764,183.0821163654,6.8425534583
183.1187272072,-0.0028617500,183.1187272072,-0.0021922827,183.1187272072,0.0036049572,183.1187272072,-142.5455860573,183.1187272072,-6622.5455860573,183.1187272072,0.0972627354,183.1187272072,8.1808760566
183.1341087818,-0.0024056707,183.1341087818,-0.0026433790,183.1341087818,0.0035741718,183.1341087818,-132.3045158138,183.1341087818,-6612.3045158138,183.1341087818,0.1916137965,183.1341087818,8.8231914195
183.1501758099,-0.0022068679,183.1501758099,-0.0029473668,183.1501758099,0.0036820154,183.1501758099,-126.8243688934,183.1501758099,-6606.8243688933,183.1501758099,0.2709200378,183.1501758099,8.7020689516
183.1634356976,-0.0019703019,183.1634356976,-0.0034225531,183.1634356976,0.0039491720,183.1634356976,-119.9282558480,183.1634356976,-6599.9282558480,183.1634356976,0.3339277118,183.1634356976,7.8037036021
183.1946806908,-0.0015440827,183.1946806908,-0.0035520514,183.1946806908,0.0038731461,183.1946806908,-113.4946659883,183.1946806908,-6593.4946659883,183.1946806908,0.379826829,183.1946806908,6.1986550166
183.1999101639,-0.000899881,183.1999101639,-0.0036757566,183.1999101639,0.0037843060,183.1999101639,-103.7563103984,183.1999101639,-6583.7563103984,183.1999101639,0.4083808961,183.1999101639,4.0265264978
183.2415285110,-0.0002576051,183.2415285110,-0.0035380822,183.2415285110,0.0035474478,183.2415285110,-94.1643135621,183.2415285110,-6574.1643135621,183.2415285110,0.4199131269,183.2415285110,1.5035159325
183.2545235157,0.0002850172,183.2545235157,-0.0033944487,183.2545235157,0.0034063936,183.2545235157,-85.2003800185,183.2545235157,-6565.2003800185,183.2545235157,0.4153327757,183.2545235157,-1.1215923744
183.2729048729,0.0007560366,183.2729048729,-0.0032445887,183.2729048729,0.0033315082,183.2729048729,-76.8832971989,183.2729048729,-6556.8832971989,183.2729048729,0.3959463580,183.2729048729,-3.5923138809
183.2860982418,0.0011873802,183.2860982418,-0.0028487002,183.2860982418,0.0030862541,183.2860982418,-67.3729075891,183.2860982418,-6547.3729075891,183.2860982418,0.3634534006,183.2860982418,-5.6716808724
183.3180701733,0.0017051815,183.3180701733,-0.0024270683,183.3180701733,0.0029661936,183.3180701733,-54.9093345959,183.3180701733,-6534.9093345959,183.3180701733,0.3197704244,183.3180701733,-7.1727037207
183.3230688572,0.0020964544,183.3230688572,-0.0020138598,183.3230688572,0.0029070178,183.3230688572,-43.8488254388,183.3230688572,-6523.8488254388,183.3230688572,0.2669582450,183.3230688572,-7.9573331197
183.3627610207,-0.0016981045,183.3627610207,-0.0037162545,183.3627610207,0.0040858423,183.3627610207,-114.5575465302,183.3627610207,-6594.5575465302,183.3627610207,0.2071662067,183.3627610207,-7.7947031698
183.3760941029,-0.0014040067,183.3760941029,-0.0037749406,183.3760941029,0.0040275814,183.3760941029,-110.4015847300,183.3760941029,-6590.4015847300,183.3760941029,0.1426422496,183.3760941029,-7.0642740731
183.3936481476,-0.0012187163,183.3936481476,-0.0038391574,183.3936481476,0.0040279522,183.3936481476,-107.6117121455,183.3936481476,-6587.6117121455,183.3936481476,0.0757058525,183.3936481476,-5.8689516241
183.4076485634,-0.0006752698,183.4076485634,-0.0038429452,183.4076485634,0.0039018223,183.4076485634,-99.9660864418,183.4076485634,-6579.9660864418,183.4076485634,0.0087253911,183.4076485634,-4.3768508771
183.4380166531,0.0001113026,183.4380166531,-0.0039014246,183.4380166531,0.0039030119,183.4380166531,-88.3658692848,183.4380166531,-6568.3658692848,183.4380166531,-0.0559632391,183.4380166531,-2.7659211984
183.4520530701,0.0006830191,183.4520530701,-0.0041979234,183.4520530701,0.0042531254,183.4520530701,-80.7587241979,183.4520530701,-6560.7587241979,183.4520530701,-0.1161625076,183.4520530701,-1.187192629
183.4839351177,0.0010496374,183.4839351177,-0.0038509116,183.4839351177,0.0039913981,183.4839351177,-74.7533462584,183.4839351177,-6554.7533462584,183.4839351177,-0.1698617954,183.4839351177,0.2194430983
183.4887330532,0.0014742254,183.4887330532,-0.0029292986,183.4887330532,0.0032793492,183.4887330532,-63.2853022204,183.4887330532,-6543.2853022204,183.4887330532,-0.2153005902,183.4887330532,1.3374236783
183.5153024197,0.0028236539,183.5153024197,-0.0028319977,183.5153024197,0.0039991539,183.5153024197,-45.0845284111,183.5153024197,-6525.0845284111,183.5153024197,-0.2509418529,183.5153024197,2.1175249681
183.5206789970,0.0036415906,183.5206789970,-0.0025602325,183.5206789970,0.0044515136,183.5206789970,-35.1092643431,183.5206789970,-6515.1092643431,183.5206789970,-0.2755293693,183.5206789970,2.6120826028
183.5610625744,0.0040165314,183.5610625744,-0.0019540526,183.5610625744,0.004466637,183.5610625744,-25.9430374143,183.5610625744,-6505.9430374143,183.5610625744,-0.2881477486,183.5610625744,2.8816394567
183.5736675262,0.0043319653,183.5736675262,-0.0013854243,183.5736675262,0.0045481121,183.5736675262,-17.7350177104,183.5736675262,-6497.7350177104,183.5736675262,-0.2882306383,183.5736675262,3.0125466378
183.5891871452,0.0043145729,183.5891871452,-0.0009121098,183.5891871452,0.0044099301,183.5891871452,-11.9366986193,183.5891871452,-6491.9366986193,183.5891871452,-0.2755869482,183.5891871452,3.0945335034
183.6073205471,0.0041991737,183.6073205471,-0.0006552587,183.6073205471,0.0042499910,183.6073205471,-8.8691746956,183.6073205471,-6488.8691746956,183.6073205471,-0.2503936453,183.6073205471,3.204809198
183.6356935501,0.0044294110,183.6356935501,-0.000427986,183.6356935501,0.0044500398,183.6356935501,-5.5189962712,183.6356935501,-6485.5189962712,183.6356935501,-0.2130954455,183.6356935501,3.3810714845
183.6406931877,0.0046992983,183.6406931877,0.0000233588,183.6406931877,0.0046993564,183.6406931877,0.2847980147,183.6406931877,-6479.7152019853,183.6406931877,-0.1644626805,183.6406931877,3.6181674751
183.6815338135,0.0049162771,183.6815338135,0.0005480726,183.6815338135,0.0049467326,183.6815338135,6.3611382578,183.6815338135,-6473.6388617422,183.6815338135,-0.1044808879,183.6815338135,3.8830487297
183.6973180771,0.0050384529,183.6973180771,0.0011346582,183.6973180771,0.0051646352,183.6973180771,12.6912746858,183.6973180771,-6467.3087253142,183.6973180771,-0.034479928,183.6973180771,4.1083930400
183.7113413811,0.0053302100,183.7113413811,0.0015265114,183.7113413811,0.0055444906,183.7113413811,15.9811095694,183.7113413811,-6464.0188904306,183.7113413811,0.0450847718,183.7113413811,4.21280593
