Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
461.8784739971,0.0030799300,461.8784739971,-0.0000948838,461.8784739971,0.0030813912,461.8784739971,-1.7645610832,461.8784739971,-1081.7645610832,461.8784739971,0.2740127196,461.8784739971,-0.3490436503
461.9235830307,0.0024829264,461.9235830307,-0.0000406274,461.9235830307,0.0024832588,461.9235830307,-0.9374310401,461.9235830307,-1080.9374310401,461.9235830307,0.2807942142,461.9235830307,0.9526909009
461.9679691792,0.0027179015,461.9679691792,0.0000294861,461.9679691792,0.0027180614,461.9679691792,0.6215684548,461.9679691792,-1079.3784315452,461.9679691792,0.2696903378,461.9679691792,1.172279348
462.0274238586,0.0023098178,462.0274238586,0.0003640369,462.0274238586,0.0023383287,462.0274238586,8.9563815735,462.0274238586,-1071.0436184265,462.0274238586,0.2399318392,462.0274238586,0.8844944915
462.0732614994,0.0029836527,462.0732614994,0.0008254595,462.0732614994,0.0030957337,462.0732614994,15.4646748211,462.0732614994,-1064.5353251789,462.0732614994,0.1937095988,462.0732614994,0.8708453719
462.1180653572,0.0037276627,462.1180653572,0.0001414251,462.1180653572,0.0037303445,462.1180653572,2.1727227882,462.1180653572,-1077.8272772118,462.1180653572,0.1356558454,462.1180653572,0.8881150040
462.1775026321,0.0031756476,462.1775026321,-0.0008461353,462.1775026321,0.0032864392,462.1775026321,-14.9195571287,462.1775026321,-1094.9195571287,462.1775026321,0.0720580935,462.1775026321,0.4539524684
462.2075004578,0.002108581,462.2075004578,-0.0005517634,462.2075004578,0.0021795771,462.2075004578,-14.6640852349,462.2075004578,-1094.6640852349,462.2075004578,0.0066477080,462.2075004578,-0.4708928097
462.2678773403,0.0021239564,462.2678773403,0.0004601927,462.2678773403,0.0021732390,462.2678773403,12.2251776051,462.2678773403,-1067.7748223949,462.2678773403,-0.0548415622,462.2678773403,-1.0490724271
462.3279678822,0.0028895215,462.3279678822,0.0006451506,462.3279678822,0.0029606679,462.3279678822,12.5861383223,462.3279678822,-1067.4138616777,462.3279678822,-0.1095915184,462.3279678822,-1.4770067543
