Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
92.2356238365,-0.0010878296,92.2356238365,0.0002198361,92.2356238365,0.0011098204,92.2356238365,168.5751454828,92.2356238365,-5591.4248545172,92.2356238365,0.0497212523,92.2356238365,18.2463010976
92.2807652950,-0.0011377311,92.2807652950,0.0002779512,92.2807652950,0.0011711912,92.2807652950,166.2713742259,92.2807652950,-5593.7286257741,92.2807652950,0.1218293477,92.2807652950,16.9908891598
92.3256139755,-0.0010958685,92.3256139755,0.0002368418,92.3256139755,0.0011211699,92.3256139755,167.8046656629,92.3256139755,-5592.1953343371,92.3256139755,0.1748805526,92.3256139755,10.2635513572
92.3854126930,-0.0012598883,92.3854126930,0.0004234251,92.3854126930,0.0013291378,92.3854126930,161.4234589471,92.3854126930,-5598.5765410529,92.3854126930,0.1946580698,92.3854126930,1.0448079349
92.4460704327,-0.001699871,92.4460704327,0.0003555200,92.4460704327,0.0017366507,92.4460704327,168.1871305762,92.4460704327,-5591.8128694238,92.4460704327,0.1768905194,92.4460704327,-6.5205095555
92.4914381504,-0.0017776276,92.4914381504,-0.0000153546,92.4914381504,0.0017776939,92.4914381504,-179.5051101093,92.4914381504,-5579.5051101093,92.4914381504,0.1283889699,92.4914381504,-9.9284228004
92.5362243652,-0.0016382307,92.5362243652,-0.0004304173,92.5362243652,0.0016938297,92.5362243652,-165.2792058789,92.5362243652,-5565.2792058789,92.5362243652,0.0630567462,92.5362243652,-8.8254649175
92.596875906,-0.0011478225,92.596875906,-0.0005258198,92.596875906,0.0012625304,92.596875906,-155.3873883142,92.596875906,-5555.3873883142,92.596875906,-0.0017304335,92.596875906,-4.8157091134
92.642213583,-0.0008511553,92.642213583,-0.0005371536,92.642213583,0.0010064787,92.642213583,-147.7444837171,92.642213583,-5547.7444837171,92.642213583,-0.0469524375,92.642213583,-0.3185800843
92.6877298355,-0.0005654445,92.6877298355,-0.0003221080,92.6877298355,0.0006507542,92.6877298355,-150.3318035177,92.6877298355,-5550.3318035177,92.6877298355,-0.0572012471,92.6877298355,2.1206654408
92.7336659431,-0.000508826,92.7336659431,0.0000535675,92.7336659431,0.0005116379,92.7336659431,173.9902324128,92.7336659431,-5586.0097675872,92.7336659431,-0.0229367489,92.7336659431,0.4320376434
92.7938992977,-0.0007693804,92.7938992977,0.0004300223,92.7938992977,0.0008813997,92.7938992977,150.7982887778,92.7938992977,-5609.2017112222,92.7938992977,0.0549356577,92.7938992977,-4.2154815446
92.8240563869,-0.0012313366,92.8240563869,0.0004379425,92.8240563869,0.0013068984,92.8240563869,160.4213415807,92.8240563869,-5599.5786584193,92.8240563869,0.1630575440,92.8240563869,-8.5233789466
